,cod_estado,nome_estado,sgl_estado
0,1,Acre,AC
1,2,Alagoas,AL
2,3,Amapá,AP
3,4,Amazonas,AM
4,5,Bahia,BA
5,6,Ceará,CE
6,7,Distrito Federal,DF
7,8,Espírito Santo,ES
8,9,Goiás,GO
9,10,Maranhão,MA
10,11,Mato Grosso,MT
11,12,Mato Grosso do Sul,MS
12,13,Minas Gerais,MG
13,14,Pará,PA
14,15,Paraíba,PB
15,16,Paraná,PR
16,17,Pernambuco,PE
17,18,Piauí,PI
18,19,Rio de Janeiro,RJ
19,20,Rio Grande do Norte,RN
20,21,Rio Grande do Sul,RS
21,22,Rondônia,RO
22,23,Roraima,RR
23,24,Santa Catarina,SC
24,25,São Paulo,SP
25,26,Sergipe,SE
26,27,Tocantins,TO
