,codigo_cliente,codigo_produto,qtd_produto_compra,valor_produto,valor_total_compra,nome_produto,cod_class_produt,nome_class_produt,cliente_genero,cliente_idade,cliente_qtd_filhos,cliente_estado_civil,codigo_estado_cliente,cliente_hipertenso,cliente_diabetes,nome_estado_cliente,sigla_estado_cliente
0,1,1011,3,5.99,17.97,Lustra móveis,1,Produtos de Limpeza,1,26,2,3,13,0,1,Minas Gerais,MG
1,1973,1049,3,5.99,17.97,Leite em pó,3,Alimentação,1,36,1,1,13,0,1,Minas Gerais,MG
2,2658,1049,4,5.99,23.96,Leite em pó,3,Alimentação,0,58,1,0,13,1,1,Minas Gerais,MG
3,593,1001,3,22.0,66.0,Amaciante,1,Produtos de Limpeza,1,18,3,0,13,1,0,Minas Gerais,MG
4,647,1001,4,22.0,88.0,Amaciante,1,Produtos de Limpeza,1,67,1,1,13,0,1,Minas Gerais,MG
5,1175,1001,3,22.0,66.0,Amaciante,1,Produtos de Limpeza,1,68,1,1,13,1,1,Minas Gerais,MG
6,2510,1003,2,12.0,24.0,Água sanitária,1,Produtos de Limpeza,0,29,3,3,13,0,0,Minas Gerais,MG
7,2993,1069,2,3.49,6.98,Melão,4,Hortifruti,0,38,3,0,13,1,1,Minas Gerais,MG
8,346,1043,3,3.25,9.75,Milho verde,3,Alimentação,0,26,3,1,13,0,0,Minas Gerais,MG
9,2824,1043,2,3.25,6.5,Milho verde,3,Alimentação,0,44,1,1,13,0,0,Minas Gerais,MG
10,434,1029,4,10.0,40.0,Açucar,3,Alimentação,1,60,1,2,13,0,1,Minas Gerais,MG
11,2740,1059,3,4.0,12.0,Chicória,4,Hortifruti,1,26,1,2,13,1,0,Minas Gerais,MG
12,308,1017,4,7.5,30.0,Refrigerante 2l,2,Bebidas,0,24,1,3,13,1,1,Minas Gerais,MG
13,623,1017,1,7.5,7.5,Refrigerante 2l,2,Bebidas,1,44,3,2,13,1,1,Minas Gerais,MG
14,2584,1052,2,5.89,11.78,Pão de forma,3,Alimentação,1,27,1,3,13,1,1,Minas Gerais,MG
15,2606,1085,3,64.99,194.97,Carne seca,5,Carnes e Frios,1,75,3,3,13,0,0,Minas Gerais,MG
16,877,1079,3,5.99,17.97,Margarina,5,Carnes e Frios,1,61,3,0,13,0,0,Minas Gerais,MG
17,1522,1077,1,34.5,34.5,Queijo outros,5,Carnes e Frios,0,48,0,0,13,1,0,Minas Gerais,MG
18,2375,1077,4,34.5,138.0,Queijo outros,5,Carnes e Frios,0,24,1,1,13,1,1,Minas Gerais,MG
19,1710,1075,3,35.0,105.0,Queijo Minas,5,Carnes e Frios,1,51,0,2,13,0,0,Minas Gerais,MG
20,427,1060,2,3.5,7.0,Mandioca,4,Hortifruti,1,35,3,1,13,1,1,Minas Gerais,MG
21,1491,1060,1,3.5,3.5,Mandioca,4,Hortifruti,1,72,2,1,13,1,0,Minas Gerais,MG
22,420,1016,2,15.0,30.0,Saco de lixo 50l,1,Produtos de Limpeza,0,43,2,2,13,0,1,Minas Gerais,MG
23,1603,1016,2,15.0,30.0,Saco de lixo 50l,1,Produtos de Limpeza,0,65,2,2,13,1,1,Minas Gerais,MG
24,2153,1016,1,15.0,15.0,Saco de lixo 50l,1,Produtos de Limpeza,1,47,3,3,13,1,1,Minas Gerais,MG
25,2768,1016,3,15.0,45.0,Saco de lixo 50l,1,Produtos de Limpeza,0,67,0,1,13,1,0,Minas Gerais,MG
26,2191,1048,3,8.99,26.97,Óleo de cozinha,3,Alimentação,0,68,1,1,13,0,1,Minas Gerais,MG
27,2249,1048,3,8.99,26.97,Óleo de cozinha,3,Alimentação,0,69,0,3,13,0,1,Minas Gerais,MG
28,1772,1010,2,11.0,22.0,Desinfetante,1,Produtos de Limpeza,0,20,3,0,13,0,0,Minas Gerais,MG
29,361,1025,3,4.99,14.97,Macarrão,3,Alimentação,1,54,1,0,13,1,0,Minas Gerais,MG
30,2095,1025,2,4.99,9.98,Macarrão,3,Alimentação,1,22,3,2,13,1,1,Minas Gerais,MG
31,2304,1025,1,4.99,4.99,Macarrão,3,Alimentação,0,53,3,0,13,0,0,Minas Gerais,MG
32,2928,1025,4,4.99,19.96,Macarrão,3,Alimentação,1,33,1,1,13,0,1,Minas Gerais,MG
33,228,1065,1,5.99,5.99,Uva,4,Hortifruti,1,53,2,3,13,0,0,Minas Gerais,MG
34,2412,1065,4,5.99,23.96,Uva,4,Hortifruti,0,52,3,3,13,0,0,Minas Gerais,MG
35,2760,1065,2,5.99,11.98,Uva,4,Hortifruti,0,34,1,3,13,1,1,Minas Gerais,MG
36,1361,1012,2,7.95,15.9,Tira manchas,1,Produtos de Limpeza,0,72,0,1,13,1,1,Minas Gerais,MG
37,2934,1083,4,1.99,7.96,Frango,5,Carnes e Frios,0,24,1,3,13,0,1,Minas Gerais,MG
38,1954,1014,2,8.99,17.98,Alcool,1,Produtos de Limpeza,0,38,1,1,13,0,0,Minas Gerais,MG
39,660,1020,3,2.5,7.5,Suco sachê,2,Bebidas,0,27,3,2,13,1,0,Minas Gerais,MG
40,1646,1020,2,2.5,5.0,Suco sachê,2,Bebidas,1,52,0,2,13,1,1,Minas Gerais,MG
41,1632,1038,2,4.0,8.0,Sardinha,3,Alimentação,1,31,0,0,13,0,0,Minas Gerais,MG
42,2514,1038,2,4.0,8.0,Sardinha,3,Alimentação,0,57,1,2,13,1,0,Minas Gerais,MG
43,849,1028,4,3.2,12.8,Sal,3,Alimentação,1,32,3,0,13,0,1,Minas Gerais,MG
44,1871,1044,2,3.99,7.98,Seleta,3,Alimentação,0,70,3,2,13,0,1,Minas Gerais,MG
45,1635,1037,3,3.45,10.35,Farinha de mandioca,3,Alimentação,1,68,0,2,13,1,0,Minas Gerais,MG
46,735,1009,1,12.5,12.5,Condicionador,1,Produtos de Limpeza,0,34,0,3,13,0,1,Minas Gerais,MG
47,1989,1022,1,4.3,4.3,Leite desnatado litro,2,Bebidas,1,62,2,1,13,1,1,Minas Gerais,MG
48,398,1082,1,29.99,29.99,Peixe,5,Carnes e Frios,0,74,1,3,13,1,0,Minas Gerais,MG
49,633,1082,4,29.99,119.96,Peixe,5,Carnes e Frios,0,36,2,1,13,1,0,Minas Gerais,MG
50,1288,1082,1,29.99,29.99,Peixe,5,Carnes e Frios,0,45,2,3,13,0,1,Minas Gerais,MG
51,673,1084,1,56.99,56.99,Carne vermelha,5,Carnes e Frios,0,61,2,1,13,0,1,Minas Gerais,MG
52,1811,1084,3,56.99,170.97,Carne vermelha,5,Carnes e Frios,1,33,0,2,13,1,0,Minas Gerais,MG
53,2036,1084,2,56.99,113.98,Carne vermelha,5,Carnes e Frios,1,36,1,1,13,0,1,Minas Gerais,MG
54,1155,1006,4,6.0,24.0,Sabão em pedra,1,Produtos de Limpeza,1,18,0,3,13,0,1,Minas Gerais,MG
55,1865,1006,2,6.0,12.0,Sabão em pedra,1,Produtos de Limpeza,1,38,1,2,13,0,0,Minas Gerais,MG
56,464,1054,4,1.5,6.0,Couve,4,Hortifruti,1,39,1,3,13,0,1,Minas Gerais,MG
57,820,1054,2,1.5,3.0,Couve,4,Hortifruti,1,57,2,1,13,0,1,Minas Gerais,MG
58,2874,1050,4,3.5,14.0,Creme de leite,3,Alimentação,1,45,1,3,13,0,1,Minas Gerais,MG
59,265,1002,3,1.99,5.97,Detergente,1,Produtos de Limpeza,0,18,0,0,13,0,0,Minas Gerais,MG
60,1931,1002,3,1.99,5.97,Detergente,1,Produtos de Limpeza,1,48,2,2,13,0,0,Minas Gerais,MG
61,1374,1071,1,4.99,4.99,Quiabo,4,Hortifruti,1,51,0,1,13,1,0,Minas Gerais,MG
62,448,1027,4,3.99,15.96,Molho de tomate,3,Alimentação,1,40,0,1,13,1,1,Minas Gerais,MG
63,2850,1027,1,3.99,3.99,Molho de tomate,3,Alimentação,1,74,0,1,13,1,0,Minas Gerais,MG
64,2675,1062,2,5.99,11.98,Espinafre,4,Hortifruti,0,58,0,3,13,1,0,Minas Gerais,MG
65,2791,1062,3,5.99,17.97,Espinafre,4,Hortifruti,1,66,3,2,13,0,0,Minas Gerais,MG
66,64,1056,2,3.75,7.5,Tomate,4,Hortifruti,1,51,1,3,13,0,1,Minas Gerais,MG
67,1805,1058,3,3.89,11.67,Beterraba,4,Hortifruti,0,45,0,2,13,1,0,Minas Gerais,MG
68,491,1067,1,2.99,2.99,Mamão,4,Hortifruti,1,55,2,0,13,0,1,Minas Gerais,MG
69,2803,1067,3,2.99,8.97,Mamão,4,Hortifruti,0,43,3,1,13,0,0,Minas Gerais,MG
70,1495,1055,3,3.99,11.97,Batata,4,Hortifruti,0,23,3,2,13,0,1,Minas Gerais,MG
71,985,1035,1,3.99,3.99,Farinha de trigo,3,Alimentação,0,20,2,1,13,1,0,Minas Gerais,MG
72,2099,1074,2,2.49,4.98,Cebola,4,Hortifruti,1,23,1,0,13,0,0,Minas Gerais,MG
73,1729,1004,3,4.0,12.0,Esponja de aço,1,Produtos de Limpeza,0,20,1,2,13,1,1,Minas Gerais,MG
74,1040,1033,3,2.32,6.96,Farofa pronta,3,Alimentação,1,68,3,0,13,1,1,Minas Gerais,MG
75,2777,1033,1,2.32,2.32,Farofa pronta,3,Alimentação,0,54,0,3,13,1,0,Minas Gerais,MG
76,2964,1033,3,2.32,6.96,Farofa pronta,3,Alimentação,0,74,2,3,13,0,0,Minas Gerais,MG
77,1521,1045,4,5.99,23.96,Doce de leite,3,Alimentação,1,61,0,3,13,0,1,Minas Gerais,MG
78,2798,1086,2,15.9,31.8,Salsicha,5,Carnes e Frios,1,43,0,3,13,1,0,Minas Gerais,MG
79,1741,1034,3,3.75,11.25,Fubá,3,Alimentação,0,67,3,3,13,0,0,Minas Gerais,MG
80,2949,1034,3,3.75,11.25,Fubá,3,Alimentação,1,43,0,2,13,1,1,Minas Gerais,MG
81,351,1023,4,22.5,90.0,Arroz 5kg,3,Alimentação,0,59,0,0,13,1,1,Minas Gerais,MG
82,591,1023,4,22.5,90.0,Arroz 5kg,3,Alimentação,0,64,1,3,13,0,0,Minas Gerais,MG
83,576,1042,4,4.45,17.8,Ervilha,3,Alimentação,1,56,2,3,13,0,1,Minas Gerais,MG
84,1577,1042,3,4.45,13.35,Ervilha,3,Alimentação,0,29,3,0,13,0,0,Minas Gerais,MG
85,2588,1042,1,4.45,4.45,Ervilha,3,Alimentação,0,59,3,1,13,1,0,Minas Gerais,MG
86,2723,1042,2,4.45,8.9,Ervilha,3,Alimentação,0,72,0,3,13,0,0,Minas Gerais,MG
87,2237,1046,1,4.99,4.99,Goiabada,3,Alimentação,0,34,1,0,13,0,0,Minas Gerais,MG
88,400,1030,2,8.0,16.0,Achocolatado,3,Alimentação,1,36,1,2,13,0,1,Minas Gerais,MG
89,933,1030,3,8.0,24.0,Achocolatado,3,Alimentação,0,70,2,0,13,1,1,Minas Gerais,MG
90,1920,1030,4,8.0,32.0,Achocolatado,3,Alimentação,0,37,3,3,13,0,1,Minas Gerais,MG
91,802,1064,4,12.5,50.0,Ovos,4,Hortifruti,0,18,3,2,13,0,1,Minas Gerais,MG
92,1965,1064,4,12.5,50.0,Ovos,4,Hortifruti,1,51,3,1,13,1,1,Minas Gerais,MG
93,481,1068,2,1.29,2.58,Melancia,4,Hortifruti,0,19,0,0,13,1,0,Minas Gerais,MG
94,941,1018,2,4.99,9.98,Suco garrafa 1l,2,Bebidas,1,22,0,0,13,0,1,Minas Gerais,MG
95,155,1026,4,2.0,8.0,Extrato de tomate,3,Alimentação,0,38,2,2,13,1,1,Minas Gerais,MG
96,656,1026,3,2.0,6.0,Extrato de tomate,3,Alimentação,1,57,1,3,13,0,1,Minas Gerais,MG
97,1579,1026,4,2.0,8.0,Extrato de tomate,3,Alimentação,1,72,2,1,13,1,1,Minas Gerais,MG
98,2901,1026,1,2.0,2.0,Extrato de tomate,3,Alimentação,0,30,0,2,13,0,1,Minas Gerais,MG
99,749,1008,4,8.5,34.0,Shampo,1,Produtos de Limpeza,1,31,1,1,13,0,1,Minas Gerais,MG
100,712,1073,1,1.5,1.5,Cheiro verde,4,Hortifruti,1,44,1,2,13,0,0,Minas Gerais,MG
101,1910,1073,4,1.5,6.0,Cheiro verde,4,Hortifruti,0,70,3,0,13,1,0,Minas Gerais,MG
102,1139,1081,4,11.5,46.0,Presunto,5,Carnes e Frios,0,52,1,1,13,1,0,Minas Gerais,MG
103,1696,1061,2,5.99,11.98,Chuchu,4,Hortifruti,0,20,0,1,13,1,0,Minas Gerais,MG
104,527,1041,3,4.95,14.85,Molho de pimenta,3,Alimentação,1,37,1,1,13,0,0,Minas Gerais,MG
105,1151,1041,4,4.95,19.8,Molho de pimenta,3,Alimentação,0,46,2,3,13,0,0,Minas Gerais,MG
106,2920,1041,1,4.95,4.95,Molho de pimenta,3,Alimentação,1,44,3,2,13,0,1,Minas Gerais,MG
107,319,1036,1,3.5,3.5,Farinha de milho,3,Alimentação,1,39,2,1,13,1,0,Minas Gerais,MG
108,806,1036,4,3.5,14.0,Farinha de milho,3,Alimentação,0,22,2,2,13,0,0,Minas Gerais,MG
109,872,1057,3,2.99,8.97,Cenoura,4,Hortifruti,0,26,3,1,13,0,1,Minas Gerais,MG
110,1381,1051,2,5.99,11.98,Leite condensado,3,Alimentação,1,60,0,0,13,0,1,Minas Gerais,MG
111,1592,1005,1,2.5,2.5,Buchinha de pia,1,Produtos de Limpeza,1,74,0,3,13,1,0,Minas Gerais,MG
112,1929,1005,1,2.5,2.5,Buchinha de pia,1,Produtos de Limpeza,1,42,2,1,13,1,0,Minas Gerais,MG
113,905,1015,2,12.0,24.0,Saco de lixo 30l,1,Produtos de Limpeza,1,28,3,0,13,0,0,Minas Gerais,MG
114,1057,1015,3,12.0,36.0,Saco de lixo 30l,1,Produtos de Limpeza,1,32,3,1,13,0,1,Minas Gerais,MG
115,2209,1015,4,12.0,48.0,Saco de lixo 30l,1,Produtos de Limpeza,1,34,0,3,13,0,1,Minas Gerais,MG
116,65,1011,3,5.99,17.97,Lustra móveis,1,Produtos de Limpeza,1,50,0,0,9,1,1,Goiás,GO
117,874,1011,1,5.99,5.99,Lustra móveis,1,Produtos de Limpeza,0,73,1,1,9,1,0,Goiás,GO
118,1459,1011,4,5.99,23.96,Lustra móveis,1,Produtos de Limpeza,0,73,1,0,9,1,1,Goiás,GO
119,2496,1011,1,5.99,5.99,Lustra móveis,1,Produtos de Limpeza,0,61,2,2,9,1,0,Goiás,GO
120,522,1049,1,5.99,5.99,Leite em pó,3,Alimentação,1,67,3,2,9,0,1,Goiás,GO
121,817,1049,4,5.99,23.96,Leite em pó,3,Alimentação,0,19,3,1,9,0,0,Goiás,GO
122,1199,1049,3,5.99,17.97,Leite em pó,3,Alimentação,1,18,2,3,9,1,0,Goiás,GO
123,1469,1049,4,5.99,23.96,Leite em pó,3,Alimentação,1,72,2,1,9,1,0,Goiás,GO
124,2450,1021,1,3.99,3.99,Leite integral litro,2,Bebidas,1,48,1,3,9,0,1,Goiás,GO
125,1111,1001,2,22.0,44.0,Amaciante,1,Produtos de Limpeza,0,29,0,2,9,1,1,Goiás,GO
126,986,1003,1,12.0,12.0,Água sanitária,1,Produtos de Limpeza,0,60,0,3,9,1,0,Goiás,GO
127,1727,1003,4,12.0,48.0,Água sanitária,1,Produtos de Limpeza,1,24,2,1,9,0,0,Goiás,GO
128,1125,1069,4,3.49,13.96,Melão,4,Hortifruti,1,42,1,3,9,0,0,Goiás,GO
129,421,1029,1,10.0,10.0,Açucar,3,Alimentação,0,34,2,0,9,0,1,Goiás,GO
130,551,1029,4,10.0,40.0,Açucar,3,Alimentação,1,60,3,0,9,0,0,Goiás,GO
131,1383,1059,1,4.0,4.0,Chicória,4,Hortifruti,0,27,2,0,9,0,1,Goiás,GO
132,2464,1059,1,4.0,4.0,Chicória,4,Hortifruti,1,52,2,0,9,1,1,Goiás,GO
133,1504,1052,4,5.89,23.56,Pão de forma,3,Alimentação,1,44,0,2,9,0,1,Goiás,GO
134,521,1079,4,5.99,23.96,Margarina,5,Carnes e Frios,1,68,0,0,9,0,0,Goiás,GO
135,2414,1079,1,5.99,5.99,Margarina,5,Carnes e Frios,0,70,1,0,9,1,0,Goiás,GO
136,133,1070,1,3.99,3.99,Jiló,4,Hortifruti,0,46,1,1,9,1,1,Goiás,GO
137,2840,1070,3,3.99,11.97,Jiló,4,Hortifruti,0,65,2,2,9,0,0,Goiás,GO
138,574,1077,1,34.5,34.5,Queijo outros,5,Carnes e Frios,1,75,3,2,9,1,0,Goiás,GO
139,2763,1077,4,34.5,138.0,Queijo outros,5,Carnes e Frios,1,66,0,1,9,0,1,Goiás,GO
140,1899,1075,1,35.0,35.0,Queijo Minas,5,Carnes e Frios,1,24,2,3,9,0,1,Goiás,GO
141,709,1060,2,3.5,7.0,Mandioca,4,Hortifruti,1,27,1,0,9,0,0,Goiás,GO
142,1819,1060,2,3.5,7.0,Mandioca,4,Hortifruti,0,25,2,3,9,1,1,Goiás,GO
143,1949,1016,4,15.0,60.0,Saco de lixo 50l,1,Produtos de Limpeza,1,71,1,3,9,0,0,Goiás,GO
144,1085,1048,1,8.99,8.99,Óleo de cozinha,3,Alimentação,1,75,1,3,9,0,0,Goiás,GO
145,1147,1048,3,8.99,26.97,Óleo de cozinha,3,Alimentação,1,55,2,3,9,0,1,Goiás,GO
146,2173,1048,1,8.99,8.99,Óleo de cozinha,3,Alimentação,0,56,3,2,9,0,1,Goiás,GO
147,275,1010,4,11.0,44.0,Desinfetante,1,Produtos de Limpeza,0,44,3,3,9,1,1,Goiás,GO
148,2697,1040,2,5.0,10.0,Maionese,3,Alimentação,0,28,2,2,9,0,0,Goiás,GO
149,727,1025,1,4.99,4.99,Macarrão,3,Alimentação,1,67,1,1,9,0,1,Goiás,GO
